epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.783,0.87589,0.76373,1.02481,0.90561,0.91717,0.91518,0.80086,0.55522,0.44493,0.84501,0.00023474,0.00023474,0.00023474
2,571.141,0.84996,0.69262,1.01109,0.89342,0.9264,0.93251,0.79661,0.64314,0.43877,0.86092,0.000316736,0.000316736,0.000316736
3,868.491,0.83488,0.67688,1.01052,0.92688,0.91237,0.93314,0.81601,0.58841,0.45426,0.85623,0.000241652,0.000241652,0.000241652
